index,comparacao,distancia
0,7891871_133943_emenda.txt_8,22.19776210045372
1,7891871_133943_emenda.txt_10,23.03180033462316
2,7891871_133943_emenda.txt_26,20.658829263532766
3,7891871_133943_emenda.txt_32,21.621155372866383
4,7891871_133943_emenda.txt_40,23.464440978002756
5,7891871_133943_emenda.txt_50,21.089348687317244
6,7891871_133943_emenda.txt_56,18.53631890889535
7,7891871_133943_emenda.txt_62,17.797638256467533
8,7891871_133943_emenda.txt_66,20.658829263532766
9,7891871_133943_emenda.txt_74,17.555229114623064
10,7891871_133943_emenda.txt_76,16.594888805724448
11,7891871_133943_emenda.txt_78,20.17651864330982
12,7891871_133943_emenda.txt_82,19.33978522496458
13,7891871_133943_emenda.txt_86,17.26016557314375
14,7891871_133943_emenda.txt_88,21.025624485183084
15,7891871_133943_emenda.txt_94,20.658829263532766
16,7891871_133943_emenda.txt_104,18.140452770654818
17,7891871_133943_emenda.txt_106,18.70203709321225
18,7891871_133943_emenda.txt_110,16.344792180182036
19,7891871_133943_emenda.txt_122,22.5813872042762
20,7891871_133943_emenda.txt_126,17.328601473242653
21,7891871_133943_emenda.txt_136,20.930028942089454
22,7891871_133943_emenda.txt_142,20.658829263532766
23,7891871_133943_emenda.txt_152,17.600676396378695
24,7891871_133943_emenda.txt_154,16.563181007375768
25,7891871_133943_emenda.txt_156,16.603661413828803
26,7891871_133943_emenda.txt_158,17.71273198799303
27,7891871_133943_emenda.txt_160,20.293248824178416
28,7891871_133943_emenda.txt_162,14.541800166011285
29,7891871_133943_emenda.txt_168,20.658829263532766
30,7891871_133943_emenda.txt_178,18.036534217316987
31,7891871_133943_emenda.txt_180,15.446821351027216
32,7891871_133943_emenda.txt_182,19.224327433068364
33,7891871_133943_emenda.txt_184,18.54884487942886
34,7891871_133943_emenda.txt_186,17.398515505680283
35,7891871_133943_emenda.txt_188,19.93704394242728
36,7891871_133943_emenda.txt_202,16.49094323828678
37,7891871_133943_emenda.txt_208,20.658829263532766
38,7891871_133943_emenda.txt_218,21.492003192489427
39,7891871_133943_emenda.txt_220,18.714924272805206
40,7891871_133943_emenda.txt_222,16.25135322643352
41,7891871_133943_emenda.txt_224,16.968327452818244
42,7891871_133943_emenda.txt_226,16.041869407009273
43,7891871_133943_emenda.txt_228,19.767291038435506
44,7891871_133943_emenda.txt_230,15.822917916720813
45,7891871_133943_emenda.txt_248,20.658829263532766
46,7891871_133943_emenda.txt_258,19.61694550017841
47,7891871_133943_emenda.txt_260,15.252356671287524
48,7891871_133943_emenda.txt_262,16.635540533597382
49,7891871_133943_emenda.txt_264,21.66286171624799
50,7891871_133943_emenda.txt_266,20.770913218338894
51,7891871_133943_emenda.txt_272,20.658829263532766
52,7891871_133943_emenda.txt_282,20.843217152136056
53,7891871_133943_emenda.txt_284,17.36523479962401
54,7891871_133943_emenda.txt_286,20.00938796260586
55,7891871_133943_emenda.txt_302,20.658829263532766
56,7891871_133943_emenda.txt_312,21.595242919641066
57,7891871_133943_emenda.txt_334,24.66761130194528
58,7891871_133943_emenda.txt_340,20.658829263532766
59,7887424_133943_emenda.txt_8,20.989338305954977
60,7887424_133943_emenda.txt_10,23.72693305182997
61,7887424_133943_emenda.txt_26,21.251850449927012
62,7887424_133943_emenda.txt_32,20.997683476814483
63,7887424_133943_emenda.txt_40,24.131479801501865
64,7887424_133943_emenda.txt_50,17.19860098845863
65,7887424_133943_emenda.txt_56,20.838797055724694
66,7887424_133943_emenda.txt_62,19.444833816857695
67,7887424_133943_emenda.txt_66,21.251850449927012
68,7887424_133943_emenda.txt_74,18.303767109092657
69,7887424_133943_emenda.txt_76,17.111091515994325
70,7887424_133943_emenda.txt_78,20.63061207830393
71,7887424_133943_emenda.txt_82,20.013083342340636
72,7887424_133943_emenda.txt_86,18.199294441382307
73,7887424_133943_emenda.txt_88,21.901616885473416
74,7887424_133943_emenda.txt_94,21.251850449927012
75,7887424_133943_emenda.txt_104,19.930924738519607
76,7887424_133943_emenda.txt_106,20.56037023082687
77,7887424_133943_emenda.txt_110,19.44832233272817
78,7887424_133943_emenda.txt_122,23.201133219779493
79,7887424_133943_emenda.txt_126,19.700215594970196
80,7887424_133943_emenda.txt_136,21.36818937039117
81,7887424_133943_emenda.txt_142,21.251850449927012
82,7887424_133943_emenda.txt_152,20.51230504079945
83,7887424_133943_emenda.txt_154,18.58372314994959
84,7887424_133943_emenda.txt_156,19.679516018086357
85,7887424_133943_emenda.txt_158,19.494415783533356
86,7887424_133943_emenda.txt_160,20.92686514160149
87,7887424_133943_emenda.txt_162,18.70556229372774
88,7887424_133943_emenda.txt_168,21.251850449927012
89,7887424_133943_emenda.txt_178,19.323913413395573
90,7887424_133943_emenda.txt_180,18.071115285305513
91,7887424_133943_emenda.txt_182,20.77056629863527
92,7887424_133943_emenda.txt_184,19.486684700391535
93,7887424_133943_emenda.txt_186,20.551279393644645
94,7887424_133943_emenda.txt_188,20.255714395020938
95,7887424_133943_emenda.txt_202,19.378846167779717
96,7887424_133943_emenda.txt_208,21.251850449927012
97,7887424_133943_emenda.txt_218,16.102474314413964
98,7887424_133943_emenda.txt_220,18.82801907561732
99,7887424_133943_emenda.txt_222,17.19918383734426
100,7887424_133943_emenda.txt_224,19.948455641818928
101,7887424_133943_emenda.txt_226,20.208620082667185
102,7887424_133943_emenda.txt_228,20.253660214007333
103,7887424_133943_emenda.txt_230,19.158051576825063
104,7887424_133943_emenda.txt_248,21.251850449927012
105,7887424_133943_emenda.txt_258,19.46434905470389
106,7887424_133943_emenda.txt_260,17.761553993685734
107,7887424_133943_emenda.txt_262,17.97446002961105
108,7887424_133943_emenda.txt_264,22.401003533387176
109,7887424_133943_emenda.txt_266,21.37960810537628
110,7887424_133943_emenda.txt_272,21.251850449927012
111,7887424_133943_emenda.txt_282,20.530305393799935
112,7887424_133943_emenda.txt_284,15.672915935712444
113,7887424_133943_emenda.txt_286,18.433728693848565
114,7887424_133943_emenda.txt_302,21.251850449927012
115,7887424_133943_emenda.txt_312,20.530789916643567
116,7887424_133943_emenda.txt_334,24.96070473225502
117,7887424_133943_emenda.txt_340,21.251850449927012
118,7886918_133943_emenda.txt_8,21.344786761603075
119,7886918_133943_emenda.txt_10,22.84366322818493
120,7886918_133943_emenda.txt_26,20.052186273919755
121,7886918_133943_emenda.txt_32,21.105870152971704
122,7886918_133943_emenda.txt_40,23.36254696817375
123,7886918_133943_emenda.txt_50,20.06783311800719
124,7886918_133943_emenda.txt_56,18.77719212969669
125,7886918_133943_emenda.txt_62,18.311057267412792
126,7886918_133943_emenda.txt_66,20.052186273919755
127,7886918_133943_emenda.txt_74,17.52122043656801
128,7886918_133943_emenda.txt_76,17.009340482233288
129,7886918_133943_emenda.txt_78,19.663248365403494
130,7886918_133943_emenda.txt_82,18.24647085688045
131,7886918_133943_emenda.txt_86,17.25571451312001
132,7886918_133943_emenda.txt_88,20.385040261012787
133,7886918_133943_emenda.txt_94,20.052186273919755
134,7886918_133943_emenda.txt_104,19.549408433882967
135,7886918_133943_emenda.txt_106,18.09353160370806
136,7886918_133943_emenda.txt_110,17.375302884606764
137,7886918_133943_emenda.txt_122,22.30938036250424
138,7886918_133943_emenda.txt_126,18.00502480938724
139,7886918_133943_emenda.txt_136,20.667341460322564
140,7886918_133943_emenda.txt_142,20.052186273919755
141,7886918_133943_emenda.txt_152,18.15207506058367
142,7886918_133943_emenda.txt_154,17.198888206004632
143,7886918_133943_emenda.txt_156,16.424383682725058
144,7886918_133943_emenda.txt_158,18.645802821852467
145,7886918_133943_emenda.txt_160,20.104340388673016
146,7886918_133943_emenda.txt_162,16.670594491940037
147,7886918_133943_emenda.txt_168,20.052186273919755
148,7886918_133943_emenda.txt_178,17.80580617489601
149,7886918_133943_emenda.txt_180,16.68769800800704
150,7886918_133943_emenda.txt_182,19.293999699051504
151,7886918_133943_emenda.txt_184,18.87485489137837
152,7886918_133943_emenda.txt_186,18.03782141744984
153,7886918_133943_emenda.txt_188,19.5013730080864
154,7886918_133943_emenda.txt_202,16.77740220573294
155,7886918_133943_emenda.txt_208,20.052186273919755
156,7886918_133943_emenda.txt_218,20.543488913443205
157,7886918_133943_emenda.txt_220,18.255735445011705
158,7886918_133943_emenda.txt_222,16.67235310548662
159,7886918_133943_emenda.txt_224,18.186773764312427
160,7886918_133943_emenda.txt_226,16.53885813275648
161,7886918_133943_emenda.txt_228,19.27484839954443
162,7886918_133943_emenda.txt_230,17.62816590937353
163,7886918_133943_emenda.txt_248,20.052186273919755
164,7886918_133943_emenda.txt_258,19.26056078010269
165,7886918_133943_emenda.txt_260,15.373695840928438
166,7886918_133943_emenda.txt_262,17.384297699082275
167,7886918_133943_emenda.txt_264,21.348252288722197
168,7886918_133943_emenda.txt_266,20.542126519256144
169,7886918_133943_emenda.txt_272,20.052186273919755
170,7886918_133943_emenda.txt_282,20.10555696602429
171,7886918_133943_emenda.txt_284,16.29466220296055
172,7886918_133943_emenda.txt_286,19.069892524337625
173,7886918_133943_emenda.txt_302,20.052186273919755
174,7886918_133943_emenda.txt_312,20.816177074192666
175,7886918_133943_emenda.txt_334,24.48623817802323
176,7886918_133943_emenda.txt_340,20.052186273919755
177,7886936_133943_emenda.txt_8,20.49031122429627
178,7886936_133943_emenda.txt_10,23.454944069261376
179,7886936_133943_emenda.txt_26,20.35726367074919
180,7886936_133943_emenda.txt_32,19.893736621331787
181,7886936_133943_emenda.txt_40,23.726287421510055
182,7886936_133943_emenda.txt_50,17.959974930198996
183,7886936_133943_emenda.txt_56,20.860945160886683
184,7886936_133943_emenda.txt_62,20.32486946077862
185,7886936_133943_emenda.txt_66,20.35726367074919
186,7886936_133943_emenda.txt_74,19.158610935467085
187,7886936_133943_emenda.txt_76,15.923491442788757
188,7886936_133943_emenda.txt_78,19.17536869084878
189,7886936_133943_emenda.txt_82,19.460811655099548
190,7886936_133943_emenda.txt_86,18.650187893858895
191,7886936_133943_emenda.txt_88,21.834787059582656
192,7886936_133943_emenda.txt_94,20.35726367074919
193,7886936_133943_emenda.txt_104,21.43563127101036
194,7886936_133943_emenda.txt_106,19.703687132875842
195,7886936_133943_emenda.txt_110,18.874917426764462
196,7886936_133943_emenda.txt_122,22.188107412607284
197,7886936_133943_emenda.txt_126,18.666222656610397
198,7886936_133943_emenda.txt_136,20.109075301350355
199,7886936_133943_emenda.txt_142,20.35726367074919
200,7886936_133943_emenda.txt_152,19.928775201380063
201,7886936_133943_emenda.txt_154,18.2710816878433
202,7886936_133943_emenda.txt_156,19.481965269290594
203,7886936_133943_emenda.txt_158,19.478216843357863
204,7886936_133943_emenda.txt_160,20.805039113901792
205,7886936_133943_emenda.txt_162,18.678759176931397
206,7886936_133943_emenda.txt_168,20.35726367074919
207,7886936_133943_emenda.txt_178,18.02195940740682
208,7886936_133943_emenda.txt_180,17.97089152360076
209,7886936_133943_emenda.txt_182,19.931610330624885
210,7886936_133943_emenda.txt_184,19.308200716029972
211,7886936_133943_emenda.txt_186,20.48102574255074
212,7886936_133943_emenda.txt_188,19.384939615887635
213,7886936_133943_emenda.txt_202,18.89304016074298
214,7886936_133943_emenda.txt_208,20.35726367074919
215,7886936_133943_emenda.txt_218,18.44977097574493
216,7886936_133943_emenda.txt_220,19.31188035749564
217,7886936_133943_emenda.txt_222,17.368879191120126
218,7886936_133943_emenda.txt_224,19.227372367916402
