,id_ext,date,casa,PL 6230/2019,Controle do Desmatamento,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,139988,2019-11-25,senado,0,0,False,0,0,0
1,139988,2019-12-02,senado,0,100,False,100,0,100
