id_ext,date,casa,PL das Armas,PL 3723/2019,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
2209381,2019-06-24,camara,27,0,False,27,0,27,65
2209381,2019-07-01,camara,0,28,False,28,0,28,65
2209381,2019-07-08,camara,45,0,False,45,0,45,65
2209381,2019-07-15,camara,29,28,False,29,0,29,65
2209381,2019-07-22,camara,0,28,False,28,0,28,65
2209381,2019-07-29,camara,28,0,False,28,0,28,65
2209381,2019-08-05,camara,28,27,False,28,0,28,65
2209381,2019-08-12,camara,53,52,False,53,0,53,65
2209381,2019-08-19,camara,64,39,False,64,0,64,65
2209381,2019-08-26,camara,66,28,False,66,0,66,65
2209381,2019-09-02,camara,78,28,False,78,0,78,65
2209381,2019-09-09,camara,28,26,False,28,0,28,65
2209381,2019-09-16,camara,28,52,False,52,0,52,65
2209381,2019-09-23,camara,52,50,False,52,0,52,65
2209381,2019-09-30,camara,33,28,False,33,0,33,65
2209381,2019-10-07,camara,52,25,False,52,0,52,65
2209381,2019-10-14,camara,27,32,False,32,0,32,65
2209381,2019-10-21,camara,34,0,False,34,0,34,65
2209381,2019-10-28,camara,100,25,False,100,0,100,65
2209381,2019-11-04,camara,49,25,False,49,0,49,65
2209381,2019-11-11,camara,34,25,False,34,0,34,65
2209381,2019-11-18,camara,25,0,False,25,0,25,65
2209381,2019-11-25,camara,24,0,False,24,0,24,65
2209381,2019-12-02,camara,27,27,False,27,0,27,65
2209381,2019-12-09,camara,35,28,False,35,0,35,65
