id_ext,date,casa,Lei do Licenciamento Ambiental,PL 3729/2004,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
257161,2019-06-17,camara,69,0,False,69,0,69,2
257161,2019-06-24,camara,51,0,False,51,0,51,2
257161,2019-07-01,camara,0,0,False,0,0,0,2
257161,2019-07-08,camara,0,0,False,0,0,0,2
257161,2019-07-15,camara,57,0,False,57,0,57,2
257161,2019-07-22,camara,53,0,False,53,0,53,2
257161,2019-07-29,camara,52,0,False,52,0,52,2
257161,2019-08-05,camara,50,0,False,50,0,50,2
257161,2019-08-12,camara,64,0,False,64,0,64,2
257161,2019-08-19,camara,0,0,False,0,0,0,2
257161,2019-08-26,camara,46,0,False,46,0,46,2
257161,2019-09-02,camara,62,0,False,62,0,62,2
257161,2019-09-09,camara,52,0,False,52,0,52,2
257161,2019-09-16,camara,48,0,False,48,0,48,2
257161,2019-09-23,camara,0,0,False,0,0,0,2
257161,2019-09-30,camara,50,0,False,50,0,50,2
257161,2019-10-07,camara,0,0,False,0,0,0,2
257161,2019-10-14,camara,48,0,False,48,0,48,2
257161,2019-10-21,camara,45,0,False,45,0,45,2
257161,2019-10-28,camara,69,0,False,69,0,69,2
257161,2019-11-04,camara,92,0,False,92,0,92,2
257161,2019-11-11,camara,48,0,False,48,0,48,2
257161,2019-11-18,camara,49,0,False,49,0,49,2
257161,2019-11-25,camara,46,0,False,46,0,46,2
257161,2019-12-02,camara,100,0,False,100,0,100,2
257161,2019-12-09,camara,51,0,False,51,0,51,2
