,id_ext,date,casa,PLC 78/2018,Revisao do contrato da cessao onerosa da Petrobras,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,133943,2019-06-10,senado,0,0,False,0,0,0
1,133943,2019-06-17,senado,0,0,False,0,0,0
2,133943,2019-06-24,senado,0,0,False,0,0,0
3,133943,2019-07-01,senado,0,0,False,0,0,0
4,133943,2019-07-08,senado,0,0,False,0,0,0
5,133943,2019-07-15,senado,0,0,False,0,0,0
6,133943,2019-07-22,senado,29,0,False,29,0,29
7,133943,2019-07-29,senado,0,0,False,0,0,0
8,133943,2019-08-05,senado,0,0,False,0,0,0
9,133943,2019-08-12,senado,0,0,False,0,0,0
10,133943,2019-08-19,senado,0,0,False,0,0,0
11,133943,2019-08-26,senado,0,0,False,0,0,0
12,133943,2019-09-02,senado,0,0,False,0,0,0
13,133943,2019-09-09,senado,0,0,False,0,0,0
14,133943,2019-09-16,senado,0,0,False,0,0,0
15,133943,2019-09-23,senado,28,0,False,28,0,28
16,133943,2019-09-30,senado,28,0,False,28,0,28
17,133943,2019-10-07,senado,100,0,False,100,0,100
18,133943,2019-10-14,senado,82,0,False,82,0,82
19,133943,2019-10-21,senado,27,0,False,27,0,27
20,133943,2019-10-28,senado,40,0,False,40,0,40
21,133943,2019-11-04,senado,0,0,False,0,0,0
22,133943,2019-11-11,senado,27,0,False,27,0,27
23,133943,2019-11-18,senado,27,0,False,27,0,27
24,133943,2019-11-25,senado,27,0,False,27,0,27
25,133943,2019-12-02,senado,0,0,False,0,0,0
