id_ext,date,casa,PLS 495/2017,mercado livre,Mercado da agua,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
131906,2019-06-10,senado,0,75,0,False,0,75,75,39
131906,2019-06-17,senado,0,73,0,False,0,73,73,39
131906,2019-06-24,senado,0,74,0,False,0,74,74,39
131906,2019-07-01,senado,0,73,0,False,0,73,73,39
131906,2019-07-08,senado,0,77,0,False,0,77,77,39
131906,2019-07-15,senado,0,79,0,False,0,79,79,39
131906,2019-07-22,senado,0,78,0,False,0,78,78,39
131906,2019-07-29,senado,0,85,0,False,0,85,85,39
131906,2019-08-05,senado,0,78,0,False,0,78,78,39
131906,2019-08-12,senado,0,80,0,False,0,80,80,39
131906,2019-08-19,senado,0,79,0,False,0,79,79,39
131906,2019-08-26,senado,0,80,0,False,0,80,80,39
131906,2019-09-02,senado,0,77,0,False,0,77,77,39
131906,2019-09-09,senado,0,76,0,False,0,76,76,39
131906,2019-09-16,senado,0,77,0,False,0,77,77,39
131906,2019-09-23,senado,0,77,0,False,0,77,77,39
131906,2019-09-30,senado,0,75,0,False,0,75,75,39
131906,2019-10-07,senado,0,76,0,False,0,76,76,39
131906,2019-10-14,senado,0,76,0,False,0,76,76,39
131906,2019-10-21,senado,0,78,0,False,0,78,78,39
131906,2019-10-28,senado,0,76,0,False,0,76,76,39
131906,2019-11-04,senado,0,78,0,False,0,78,78,39
131906,2019-11-11,senado,0,78,0,False,0,78,78,39
131906,2019-11-18,senado,0,80,0,False,0,80,80,39
131906,2019-11-25,senado,0,100,0,False,0,100,100,39
131906,2019-12-02,senado,0,85,0,False,0,85,85,39
131906,2019-12-09,senado,0,82,0,False,0,82,82,39
