,id_ext,date,casa,Uso do Fundo Partidario para Remunerar funcionarios de Partido Politico,PL 5029/2019,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,138726,2019-09-02,senado,0,0,False,0,0,0
1,138726,2019-09-09,senado,0,0,False,0,0,0
2,138726,2019-09-16,senado,0,77,False,77,0,77
3,138726,2019-09-23,senado,0,100,False,100,0,100
4,138726,2019-09-30,senado,0,76,False,76,0,76
5,138726,2019-10-07,senado,0,0,False,0,0,0
6,138726,2019-10-14,senado,0,0,False,0,0,0
7,138726,2019-10-21,senado,0,0,False,0,0,0
8,138726,2019-10-28,senado,0,0,False,0,0,0
9,138726,2019-11-04,senado,0,0,False,0,0,0
10,138726,2019-11-11,senado,0,0,False,0,0,0
11,138726,2019-11-18,senado,0,0,False,0,0,0
