,id_ext,date,casa,PEC 18/2011,Autoriza trabalho a partir dos quatorze anos,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,500183,2019-02-25,camara,0,0,False,0,0,0
1,500183,2019-03-04,camara,0,0,False,0,0,0
2,500183,2019-03-11,camara,0,0,False,0,0,0
3,500183,2019-03-18,camara,0,0,False,0,0,0
4,500183,2019-03-25,camara,0,0,False,0,0,0
5,500183,2019-04-01,camara,0,0,False,0,0,0
6,500183,2019-04-08,camara,0,0,False,0,0,0
7,500183,2019-04-15,camara,0,0,False,0,0,0
8,500183,2019-04-22,camara,0,0,False,0,0,0
9,500183,2019-04-29,camara,0,0,False,0,0,0
10,500183,2019-05-06,camara,0,0,False,0,0,0
11,500183,2019-05-13,camara,0,0,False,0,0,0
12,500183,2019-05-20,camara,0,0,False,0,0,0
13,500183,2019-05-27,camara,0,0,False,0,0,0
14,500183,2019-06-03,camara,0,0,False,0,0,0
15,500183,2019-06-10,camara,0,0,False,0,0,0
16,500183,2019-06-17,camara,0,0,False,0,0,0
17,500183,2019-06-24,camara,0,0,False,0,0,0
18,500183,2019-07-01,camara,0,0,False,0,0,0
19,500183,2019-07-08,camara,0,0,False,0,0,0
20,500183,2019-07-15,camara,100,0,False,100,0,100
21,500183,2019-07-22,camara,0,0,False,0,0,0
22,500183,2019-07-29,camara,0,0,False,0,0,0
23,500183,2019-08-05,camara,0,0,False,0,0,0
24,500183,2019-08-12,camara,0,0,False,0,0,0
25,500183,2019-08-19,camara,0,0,False,0,0,0
