id_ext,date,casa,PL 25/2015,Lei do Cerrado,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
944279,2019-06-17,camara,0,82,False,82,0,82,20
944279,2019-06-24,camara,0,0,False,0,0,0,20
944279,2019-07-01,camara,0,0,False,0,0,0,20
944279,2019-07-08,camara,0,0,False,0,0,0,20
944279,2019-07-15,camara,0,0,False,0,0,0,20
944279,2019-07-22,camara,0,82,False,82,0,82,20
944279,2019-07-29,camara,0,0,False,0,0,0,20
944279,2019-08-05,camara,0,0,False,0,0,0,20
944279,2019-08-12,camara,0,0,False,0,0,0,20
944279,2019-08-19,camara,0,0,False,0,0,0,20
944279,2019-08-26,camara,0,81,False,81,0,81,20
944279,2019-09-02,camara,0,0,False,0,0,0,20
944279,2019-09-09,camara,0,0,False,0,0,0,20
944279,2019-09-16,camara,0,0,False,0,0,0,20
944279,2019-09-23,camara,75,100,False,100,0,100,20
944279,2019-09-30,camara,0,0,False,0,0,0,20
944279,2019-10-07,camara,0,73,False,73,0,73,20
944279,2019-10-14,camara,0,71,False,71,0,71,20
944279,2019-10-21,camara,0,72,False,72,0,72,20
944279,2019-10-28,camara,0,93,False,93,0,93,20
944279,2019-11-04,camara,0,0,False,0,0,0,20
944279,2019-11-11,camara,0,97,False,97,0,97,20
944279,2019-11-18,camara,0,0,False,0,0,0,20
944279,2019-11-25,camara,0,73,False,73,0,73,20
944279,2019-12-02,camara,0,77,False,77,0,77,20
944279,2019-12-09,camara,0,0,False,0,0,0,20
