id_ext,date,casa,Tornar o FUNDEB permanente Camara,PEC 15/2015,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
1198512,2019-06-10,camara,0,0,False,0,0,0,54
1198512,2019-06-17,camara,0,0,False,0,0,0,54
1198512,2019-06-24,camara,0,83,False,83,0,83,54
1198512,2019-07-01,camara,0,0,False,0,0,0,54
1198512,2019-07-08,camara,0,92,False,92,0,92,54
1198512,2019-07-15,camara,0,0,False,0,0,0,54
1198512,2019-07-22,camara,0,0,False,0,0,0,54
1198512,2019-07-29,camara,0,0,False,0,0,0,54
1198512,2019-08-05,camara,0,0,False,0,0,0,54
1198512,2019-08-12,camara,0,0,False,0,0,0,54
1198512,2019-08-19,camara,0,0,False,0,0,0,54
1198512,2019-08-26,camara,0,0,False,0,0,0,54
1198512,2019-09-02,camara,0,0,False,0,0,0,54
1198512,2019-09-09,camara,0,0,False,0,0,0,54
1198512,2019-09-16,camara,0,100,False,100,0,100,54
1198512,2019-09-23,camara,0,0,False,0,0,0,54
1198512,2019-09-30,camara,0,79,False,79,0,79,54
1198512,2019-10-07,camara,0,0,False,0,0,0,54
1198512,2019-10-14,camara,0,0,False,0,0,0,54
1198512,2019-10-21,camara,0,0,False,0,0,0,54
1198512,2019-10-28,camara,0,0,False,0,0,0,54
1198512,2019-11-04,camara,0,76,False,76,0,76,54
1198512,2019-11-11,camara,0,0,False,0,0,0,54
1198512,2019-11-18,camara,0,82,False,82,0,82,54
1198512,2019-11-25,camara,0,75,False,75,0,75,54
1198512,2019-12-02,camara,0,0,False,0,0,0,54
1198512,2019-12-09,camara,0,0,False,0,0,0,54
