id_ext,date,casa,Lei da Qualidade Fiscal,PLS 229/2009,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
91341,2019-06-17,senado,100,0,False,100,0,100,4
91341,2019-06-24,senado,0,0,False,0,0,0,4
91341,2019-07-01,senado,0,0,False,0,0,0,4
91341,2019-07-08,senado,0,0,False,0,0,0,4
91341,2019-07-15,senado,0,0,False,0,0,0,4
91341,2019-07-22,senado,0,0,False,0,0,0,4
91341,2019-07-29,senado,0,0,False,0,0,0,4
91341,2019-08-05,senado,0,0,False,0,0,0,4
91341,2019-08-12,senado,0,0,False,0,0,0,4
91341,2019-08-19,senado,71,0,False,71,0,71,4
91341,2019-08-26,senado,0,88,False,88,0,88,4
91341,2019-09-02,senado,0,0,False,0,0,0,4
91341,2019-09-09,senado,0,0,False,0,0,0,4
91341,2019-09-16,senado,70,0,False,70,0,70,4
91341,2019-09-23,senado,0,0,False,0,0,0,4
91341,2019-09-30,senado,0,0,False,0,0,0,4
91341,2019-10-07,senado,69,0,False,69,0,69,4
91341,2019-10-14,senado,0,0,False,0,0,0,4
91341,2019-10-21,senado,0,0,False,0,0,0,4
91341,2019-10-28,senado,71,0,False,71,0,71,4
91341,2019-11-04,senado,0,0,False,0,0,0,4
91341,2019-11-11,senado,0,0,False,0,0,0,4
91341,2019-11-18,senado,0,0,False,0,0,0,4
91341,2019-11-25,senado,0,0,False,0,0,0,4
91341,2019-12-02,senado,96,0,False,96,0,96,4
91341,2019-12-09,senado,78,0,False,78,0,78,4
