id_ext,date,casa,Lei do Pantanal - Molon,PL 9950/2018,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
2170839,2019-06-17,camara,79,0,False,79,0,79,19
2170839,2019-06-24,camara,0,0,False,0,0,0,19
2170839,2019-07-01,camara,77,0,False,77,0,77,19
2170839,2019-07-08,camara,84,0,False,84,0,84,19
2170839,2019-07-15,camara,0,0,False,0,0,0,19
2170839,2019-07-22,camara,80,0,False,80,0,80,19
2170839,2019-07-29,camara,76,0,False,76,0,76,19
2170839,2019-08-05,camara,83,0,False,83,0,83,19
2170839,2019-08-12,camara,0,0,False,0,0,0,19
2170839,2019-08-19,camara,71,0,False,71,0,71,19
2170839,2019-08-26,camara,71,0,False,71,0,71,19
2170839,2019-09-02,camara,73,0,False,73,0,73,19
2170839,2019-09-09,camara,71,0,False,71,0,71,19
2170839,2019-09-16,camara,71,0,False,71,0,71,19
2170839,2019-09-23,camara,0,0,False,0,0,0,19
2170839,2019-09-30,camara,71,0,False,71,0,71,19
2170839,2019-10-07,camara,100,0,False,100,0,100,19
2170839,2019-10-14,camara,0,0,False,0,0,0,19
2170839,2019-10-21,camara,92,0,False,92,0,92,19
2170839,2019-10-28,camara,0,0,False,0,0,0,19
2170839,2019-11-04,camara,0,0,False,0,0,0,19
2170839,2019-11-11,camara,0,0,False,0,0,0,19
2170839,2019-11-18,camara,72,0,False,72,0,72,19
2170839,2019-11-25,camara,0,0,False,0,0,0,19
2170839,2019-12-02,camara,0,0,False,0,0,0,19
2170839,2019-12-09,camara,0,0,False,0,0,0,19
