,id_ext,date,casa,PL das Armas,PL 3723/2019,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,2209381,2019-06-24,camara,0,0,False,0,0,0
1,2209381,2019-07-01,camara,0,45,False,45,0,45
2,2209381,2019-07-08,camara,100,0,False,100,0,100
3,2209381,2019-07-15,camara,64,0,False,64,0,64
4,2209381,2019-07-22,camara,0,44,False,44,0,44
5,2209381,2019-07-29,camara,0,0,False,0,0,0
6,2209381,2019-08-05,camara,0,0,False,0,0,0
7,2209381,2019-08-12,camara,46,57,False,57,0,57
8,2209381,2019-08-19,camara,85,58,False,85,0,85
9,2209381,2019-08-26,camara,55,0,False,55,0,55
10,2209381,2019-09-02,camara,56,83,False,83,0,83
11,2209381,2019-09-09,camara,84,84,False,84,0,84
12,2209381,2019-09-16,camara,0,42,False,42,0,42
13,2209381,2019-09-23,camara,43,44,False,44,0,44
14,2209381,2019-09-30,camara,46,46,False,46,0,46
15,2209381,2019-10-07,camara,42,0,False,42,0,42
16,2209381,2019-10-14,camara,0,40,False,40,0,40
17,2209381,2019-10-21,camara,45,0,False,45,0,45
18,2209381,2019-10-28,camara,40,0,False,40,0,40
19,2209381,2019-11-04,camara,82,82,False,82,0,82
20,2209381,2019-11-11,camara,41,0,False,41,0,41
21,2209381,2019-11-18,camara,41,52,False,52,0,52
22,2209381,2019-11-25,camara,0,0,False,0,0,0
