,id_ext,date,casa,PL 3722/2012,Revogacao do Estatuto do Desarmamento,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,541857,2019-02-18,camara,0,0,False,0,,0.0
1,541857,2019-02-25,camara,0,0,False,0,,0.0
2,541857,2019-03-04,camara,0,97,False,97,,97.0
3,541857,2019-03-11,camara,0,0,False,0,,0.0
4,541857,2019-03-18,camara,0,0,False,0,,0.0
5,541857,2019-03-25,camara,0,0,False,0,,0.0
6,541857,2019-04-01,camara,0,0,False,0,,0.0
7,541857,2019-04-08,camara,0,0,False,0,,0.0
8,541857,2019-04-15,camara,0,0,False,0,,0.0
9,541857,2019-04-22,camara,0,0,False,0,,0.0
10,541857,2019-04-29,camara,0,0,False,0,,0.0
11,541857,2019-05-06,camara,0,100,False,100,,100.0
12,541857,2019-05-13,camara,0,0,False,0,,0.0
13,541857,2019-05-20,camara,0,0,False,0,,0.0
14,541857,2019-05-27,camara,0,0,False,0,,0.0
15,541857,2019-06-03,camara,74,0,False,74,,74.0
16,541857,2019-06-10,camara,0,0,False,0,,0.0
17,541857,2019-06-17,camara,0,0,False,0,,0.0
18,541857,2019-06-24,camara,0,0,False,0,,0.0
19,541857,2019-07-01,camara,0,0,False,0,,0.0
20,541857,2019-07-08,camara,0,0,False,0,,0.0
21,541857,2019-07-15,camara,0,0,False,0,,0.0
22,541857,2019-07-22,camara,0,0,False,0,,0.0
23,541857,2019-07-29,camara,0,0,False,0,,0.0
24,541857,2019-08-05,camara,0,0,False,0,,0.0
25,541857,2019-08-12,camara,0,0,False,0,,0.0
