id_documento,descricao_tipo_documento,id_autor,data,url_inteiro_teor,id_leggo,nome_eleitoral
1048094,Projeto de Lei,160571,2019-04-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1310322,13,João Rodrigues (PSD/-)
1049116,Projeto de Lei,73579,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1310874,13,Alberto Fraga (DEM/DF)
1049354,Projeto de Lei,178908,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1311441,13,Delegado Éder Mauro (PSD/PA)
1050668,Projeto de Lei,4931,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312409,12,Izalci Lucas (PSDB/DF)
1050668,Projeto de Lei,4931,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312409,12,Izalci (PSDB/DF)
1195577,Projeto de Lei,160651,2019-06-10,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1315855,13,Rogério Peninha Mendonça (MDB/SC)
1197831,Projeto de Lei,141417,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1316147,7,Edio Lopes (PL/RR)
1197881,Projeto de Lei,73579,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1316225,13,Alberto Fraga (DEM/DF)
1198512,Proposta de Emenda à Constituição,178998,2019-06-06,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1317615,54,Raquel Muniz (PSD/MG)
1199844,Projeto de Lei,178913,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1319377,13,Veneziano Vital Do Rêgo (PSB/PB)
1199916,Projeto de Lei,73579,2019-05-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1319940,13,Alberto Fraga (DEM/DF)
1199917,Projeto de Lei,178864,2019-06-10,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1319504,13,Adail Carneiro (PODE/CE)
1212363,Projeto de Lei,160637,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1321480,13,Ronaldo Fonseca (PODE/DF)
1214879,Projeto de Lei,160571,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1323171,13,João Rodrigues (PSD/-)
1214955,Projeto de Lei,178963,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1323361,7,Covatti Filho (PP/-)
1214965,Projeto de Lei,148134,2019-03-19,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1323383,7,Professor Victório Galli (PSL/MT)
1215483,Projeto de Lei,73579,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1324615,13,Alberto Fraga (DEM/DF)
1215490,Projeto de Lei,73579,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1324623,13,Alberto Fraga (DEM/DF)
1229595,Projeto de Lei,73579,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1329691,13,Alberto Fraga (DEM/DF)
1229706,Projeto de Lei,178953,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1329900,13,Expedito Netto (PSD/RO)
1243862,Projeto de Lei,178865,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1332899,13,Cabo Sabino (AVANTE/CE)
1278949,Projeto de Lei,160515,2019-06-12,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1334432,2,Ronaldo Benedet (MDB/SC)
1279621,Projeto de Lei,166401,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1336673,7,Nilson Leitão (PSDB/MT)
1297622,Projeto de Lei,178898,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1340465,13,Tenente Lúcio (PR/MG)
1302312,Projeto de Lei,160663,2019-02-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1345529,13,Leopoldo Meyer (PSB/PR)
1302894,Projeto de Lei,74558,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Givaldo Carimbão (AVANTE/AL)
1302894,Projeto de Lei,74254,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Leonardo Picciani (MDB/RJ)
1302894,Projeto de Lei,160530,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Antonio Imbassahy (PSDB/BA)
1302894,Projeto de Lei,160640,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Eros Biondini (PROS/MG)
1302894,Projeto de Lei,92776,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Stefano Aguiar (PSD/MG)
1302894,Projeto de Lei,73441,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Celso Russomanno (PRB/SP)
1302894,Projeto de Lei,73584,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Antonio Carlos Mendes Thame (PV/SP)
1302894,Projeto de Lei,74366,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,João Campos (PRB/GO)
1302894,Projeto de Lei,178977,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Eduardo Cury (PSDB/SP)
1302894,Projeto de Lei,4931,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Izalci Lucas (PSDB/DF)
1302894,Projeto de Lei,4931,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Izalci (PSDB/DF)
1302894,Projeto de Lei,74650,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Bonifácio De Andrada (DEM/MG)
1302894,Projeto de Lei,73778,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Luiz Carlos Hauly (PSDB/PR)
1302894,Projeto de Lei,178828,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Evandro Gussi (PV/SP)
1302894,Projeto de Lei,178836,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Alan Rick (DEM/AC)
1302894,Projeto de Lei,178945,2019-02-25,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1346799,12,Rosangela Gomes (PRB/RJ)
