cargo,id_parlamentar,nome,partido,uf,situacao,sigla,casa
PRESIDENTE,1,Mecias de Jesus,PRB,RR,Titular,CSF,senado
NA,1,Marcelo Castro,MDB,PI,Suplente,CSF,senado
NA,1,Marcio Bittar,MDB,AC,Titular,CSF,senado
NA,1,    ,NA,NA,Suplente,CSF,senado
NA,1,    ,NA,NA,Titular,CSF,senado
NA,1,    ,NA,NA,Suplente,CSF,senado
NA,2,Styvenson Valentim,PODE,RN,Titular,CSF,senado
NA,2,Eduardo Girão,PODE,CE,Suplente,CSF,senado
NA,2,    ,NA,NA,Titular,CSF,senado
NA,2,    ,NA,NA,Suplente,CSF,senado
NA,3,    ,NA,NA,Titular,CSF,senado
NA,3,    ,NA,NA,Suplente,CSF,senado
NA,3,    ,NA,NA,Titular,CSF,senado
NA,3,    ,NA,NA,Suplente,CSF,senado
NA,4,Rogério Carvalho,PT,SE,Titular,CSF,senado
NA,4,Zenaide Maia,PROS,RN,Suplente,CSF,senado
NA,5,Irajá,PSD,TO,Titular,CSF,senado
NA,5,Arolde de Oliveira,PSD,RJ,Suplente,CSF,senado
VICE-PRESIDENTE,6,Zequinha Marinho,PSC,PA,Titular,CSF,senado
NA,6,Wellington Fagundes,PR,MT,Suplente,CSF,senado
NA,1,Fernando Bezerra Coelho,MDB,PE,Titular,CTFC,senado
NA,1,Renan Calheiros,MDB,AL,Suplente,CTFC,senado
NA,1,José Maranhão,MDB,PB,Titular,CTFC,senado
NA,1,Eduardo Braga,MDB,AM,Suplente,CTFC,senado
NA,1,Marcio Bittar,MDB,AC,Titular,CTFC,senado
NA,1,Eduardo Gomes,MDB,TO,Suplente,CTFC,senado
NA,1,Ciro Nogueira,PP,PI,Titular,CTFC,senado
NA,1,    ,NA,NA,Suplente,CTFC,senado
PRESIDENTE,2,Rodrigo Cunha,PSDB,AL,Titular,CTFC,senado
NA,2,Izalci Lucas,PSDB,DF,Suplente,CTFC,senado
NA,2,Mara Gabrilli,PSDB,SP,Titular,CTFC,senado
NA,2,Roberto Rocha,PSDB,MA,Suplente,CTFC,senado
NA,2,Eduardo Girão,PODE,CE,Titular,CTFC,senado
NA,2,Rose de Freitas,PODE,ES,Suplente,CTFC,senado
NA,2,Selma Arruda,PSL,MT,Titular,CTFC,senado
NA,2,Major Olimpio,PSL,SP,Suplente,CTFC,senado
NA,3,Jorge Kajuru,PSB,GO,Titular,CTFC,senado
NA,3,Fabiano Contarato,REDE,ES,Suplente,CTFC,senado
NA,3,Weverton,PDT,MA,Titular,CTFC,senado
NA,3,Eliziane Gama,PPS,MA,Suplente,CTFC,senado
NA,3,Cid Gomes,PDT,CE,Titular,CTFC,senado
NA,3,Randolfe Rodrigues,REDE,AP,Suplente,CTFC,senado
NA,4,Humberto Costa,PT,PE,Titular,CTFC,senado
NA,4,Paulo Rocha,PT,PA,Suplente,CTFC,senado
NA,4,Telmário Mota,PROS,RR,Titular,CTFC,senado
NA,4,Rogério Carvalho,PT,SE,Suplente,CTFC,senado
NA,5,Angelo Coronel,PSD,BA,Titular,CTFC,senado
NA,5,Carlos Viana,PSD,MG,Suplente,CTFC,senado
NA,5,Otto Alencar,PSD,BA,Titular,CTFC,senado
NA,5,Omar Aziz,PSD,AM,Suplente,CTFC,senado
VICE-PRESIDENTE,6,Rodrigo Pacheco,DEM,MG,Titular,CTFC,senado
NA,6,Jorginho Mello,PR,SC,Suplente,CTFC,senado
NA,6,Wellington Fagundes,PR,MT,Titular,CTFC,senado
NA,6,    ,NA,NA,Suplente,CTFC,senado
VICE-PRESIDENTE,1,Nelsinho Trad,PSD,MS,Titular,CCAI,senado
NA,2,Eduardo Braga,MDB,AM,Titular,CCAI,senado
NA,3,Randolfe Rodrigues,REDE,AP,Titular,CCAI,senado
NA,4,    ,NA,NA,Titular,CCAI,senado
NA,5,    ,NA,NA,Titular,CCAI,senado
NA,6,    ,NA,NA,Titular,CCAI,senado
PRESIDENTE,7,Eduardo Bolsonaro,NA,NA,Titular,CCAI,senado
NA,8,    ,NA,NA,Titular,CCAI,senado
NA,9,Jandira Feghali,NA,NA,Titular,CCAI,senado
NA,10,    ,NA,NA,Titular,CCAI,senado
NA,11,    ,NA,NA,Titular,CCAI,senado
NA,12,    ,NA,NA,Titular,CCAI,senado
