id_proposicao,casa,codigo_texto,data,tipo_texto,descricao,link_inteiro_teor,pagina_inicial
2170839,camara,1648839,2018-04-04 16:08:00,Apresentação de Proposição,"Apresentação do Projeto de Lei n. 9950/2018, pelo Deputado Alessandro Molon (PSB-RJ), que: ""Dispõe sobre a conservação e o uso sustentável do Bioma Pantanal e dá outras providências"".",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1648839,1
944279,camara,1296717,2015-02-02 15:48:00,Apresentação de Proposição,"Apresentação do Projeto de Lei n. 25/2015, pelo Deputado Sarney Filho, que: ""Dispõe sobre a conservação e a utilização sustentável da vegetação nativa do Bioma Cerrado"".",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296717,1
2120019,camara,1514475,2016-12-06 18:27:00,Apresentação de Proposição,"Apresentação do Projeto de Lei n. 6621/2016, pelo Senado Federal, que: ""Dispõe sobre a gestão, a organização, o processo decisório e o controle social das agências reguladoras, altera a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 9.472, de 16 de julho de 1997, a Lei nº 9.478, de 6 de agosto de 1997, a Lei nº 9.782, de 26 de janeiro de 1999, a Lei nº 9.961, de 28 de janeiro de 2000, a Lei nº 9.984, de 17 de julho de 2000, a Lei nº 9.986, de 18 de julho de 2000, a Lei nº 10.233, de 5 de junho de 2001, a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, a Lei nº 11.182, de 27 de setembro de 2005, e a Lei nº 10.180, de 6 de fevereiro de 2001, e dá outras providências"".",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1514475,1
111048,senado,3429461,2013-02-26,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=3429461,1
532814,camara,954307,2011-12-19 18:31:00,Apresentação de Proposição,"Apresentação do Projeto de Lei n. 3020/2011, pelo Deputado Nelson Marchezan Junior (PSDB-RS), que: ""Altera o caput do art. 4º da Lei nº 11.738, de 16 de julho de 2008, que Regulamenta a alínea ""e"" do inciso III do caput do art. 60 do Ato das Disposições Constitucionais Transitórias, para instituir o piso salarial profissional nacional para os profissionais do magistério público da educação básica, a fim de viabilizar que Estados e Municípios não beneficiados pela complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB possam receber complementação da União para integralização do piso salarial profissional nacional para os profissionais do magistério público da educação básica"".",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=954307,1
120768,senado,4521953,2015-04-16,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=4521953,1
121572,senado,4522680,2015-06-02,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=4522680,1
604888,camara,1214822,2013-12-18 15:55:00,Apresentação de Proposição,"Apresentação do Projeto de Lei n. 7005/2013, pelo Senado Federal, que: ""Acrescenta os §§ 3º e 4º na Lei nº 9.709, de 18 de novembro de 1998, para estabelecer a possibilidade de subscrição eletrônica para apresentação de projeto de lei de iniciativa popular"".",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1214822,1
2192459,camara,1712459,2019-02-20 10:37:00,Apresentação de Proposição,"Apresentação da Proposta de Emenda à Constituição n. 6/2019, pelo Poder Executivo, que: ""Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências"".",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1712459,1
2190288,camara,1747081,2019-05-09 13:01:00,Apresentação de Proposição,"Apresentação do Projeto de Lei de Conversão n. 10/2019, pela Comissão Mista da MPV 870/2019, que: ""Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios"".",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1747081,1
120152,senado,3455035,2015-03-18,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=3455035,1
136033,senado,7935297,2019-03-28,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=7935297,1
131429,senado,7252481,2017-11-01,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=7252481,1
126049,senado,4115608,2016-06-07,Avulso inicial da matéria,Avulso inicial da matéria,http://legis.senado.leg.br/sdleg-getter/documento?dm=4115608,1
