id_proposicao,casa,codigo_texto,data,tipo_texto,descricao,link_inteiro_teor,pagina_inicial
132865,senado,7721263,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721263,1
132865,senado,7721401,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721401,1
132865,senado,7721395,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721395,1
132865,senado,7721389,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721389,1
132865,senado,7721383,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721383,1
132865,senado,7721377,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721377,1
132865,senado,7721371,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721371,1
132865,senado,7721365,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721365,1
132865,senado,7721359,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721359,1
132865,senado,7721353,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721353,1
132865,senado,7721347,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721347,1
132865,senado,7721341,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721341,1
132865,senado,7721335,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721335,1
132865,senado,7721329,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721329,1
132865,senado,7721323,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721323,1
132865,senado,7721317,2018-04-18,Emenda,Emenda,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721317,1
