index,id_leggo,id_autor,nome,partido,uf,bancada,nome_eleitoral,node_size
22,1,73553,Nelson Marquezelli,PTB,SP,governo,Nelson Marquezelli (PTB/SP),328.3333333333333
23,1,73579,Alberto Fraga,DEM,DF,governo,Alberto Fraga (DEM/DF),475
24,1,73666,Jovair Arantes,PTB,GO,governo,Jovair Arantes (PTB/GO),1573.8095238095236
25,1,73931,Zé Geraldo,PT,PA,oposição,Zé Geraldo (PT/PA),99.99999999999999
26,1,74010,Valdir Colatto,MDB,SC,governo,Valdir Colatto (MDB/SC),479.99999999999994
27,1,74060,Daniel Almeida,PCdoB,BA,governo,Daniel Almeida (PCdoB/BA),1885.4395604395604
28,1,74095,Pauderney Avelino,DEM,,governo,Pauderney Avelino (DEM/NA),1266.6666666666665
29,1,74156,Leonardo Monteiro,PT,MG,oposição,Leonardo Monteiro (PT/MG),3445.449878064433
30,1,74254,Leonardo Picciani,MDB,RJ,governo,Leonardo Picciani (MDB/RJ),853.8095238095239
31,1,74385,Takayama,PSC,PR,governo,Takayama (PSC/PR),273.33333333333337
32,1,74400,Paulo Pimenta,PT,RS,oposição,Paulo Pimenta (PT/RS),4374.937057551612
33,2,141421,Eduardo Da Fonte,PP,PE,governo,Eduardo Da Fonte (PP/PE),262.5
34,2,141431,Fernando Coelho Filho,DEM,PE,governo,Fernando Coelho Filho (DEM/PE),466.66666666666663
35,2,141482,Leonardo Quintão,MDB,MG,governo,Leonardo Quintão (MDB/MG),187.5
36,2,141483,Lindomar Garçon,PRB,RO,governo,Lindomar Garçon (PRB/RO),183.33333333333331
37,2,144523,Daniel Vilela,MDB,GO,governo,Daniel Vilela (MDB/GO),187.5
38,2,160426,Rogério Rosso,PSD,DF,governo,Rogério Rosso (PSD/DF),1168.8095238095239
39,2,160511,Alessandro Molon,PSB,RJ,oposição,Alessandro Molon (PSB/RJ),996.7948717948718
40,2,160515,Ronaldo Benedet,MDB,SC,governo,Ronaldo Benedet (MDB/SC),187.5
41,2,160630,Ságuas Moraes,PT,MT,oposição,Ságuas Moraes (PT/MT),905
42,2,178850,Marcos Rotta,MDB,,governo,Marcos Rotta (MDB/NA),187.5
43,2,178869,Vitor Valim,PROS,CE,governo,Vitor Valim (PROS/CE),187.5
44,2,73454,João Grandão,PT,MS,oposição,João Grandão (PT/MS),160
45,2,73474,Luci Choinacki,PT,SC,oposição,Luci Choinacki (PT/SC),160
46,2,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
47,2,73545,Luciano Zica,PT,SP,oposição,Luciano Zica (PT/SP),160
48,2,73584,Antonio Carlos Mendes Thame,PV,SP,governo,Antonio Carlos Mendes Thame (PV/SP),516.6666666666666
49,2,73655,Augusto Carvalho,SOLIDARIEDADE,DF,governo,Augusto Carvalho (SOLIDARIEDADE/DF),341.66666666666663
50,2,73666,Jovair Arantes,PTB,GO,governo,Jovair Arantes (PTB/GO),1573.8095238095236
51,2,73945,Eduardo Gomes,SD,TO,governo,Eduardo Gomes (SD/TO),183.33333333333331
52,2,74031,João Alfredo,PSOL,CE,oposição,João Alfredo (PSOL/CE),160
53,2,74133,Luiz Alberto,PT,BA,oposição,Luiz Alberto (PT/BA),160
54,2,74137,Luiz Eduardo Greenhalgh,PT,SP,oposição,Luiz Eduardo Greenhalgh (PT/SP),160
55,2,74145,Zezéu Ribeiro,PT,,oposição,Zezéu Ribeiro (PT/NA),160
56,2,74153,Ivo José,PT,MG,oposição,Ivo José (PT/MG),160
57,2,74162,Iriny Lopes,PT,ES,oposição,Iriny Lopes (PT/ES),160
