id_ext,codigo_emenda,data_apresentacao,numero,local,autor,casa,tipo_documento,inteiro_teor
2080604,2118804,2016-11-29,11,PLEN,Afonso Florence - PT/BA,camara,EMP,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1511921
2080604,2118806,2016-11-29,12,PLEN,"Pompeo de Mattos - PDT/RS, Jovair Arantes - PTB/GO, Paulo Pimenta - PT/RS",camara,EMP,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1511922
46249,577691,2013-05-21,3,CCJC," Moreira Mendes - PSD/RO, Moreira Mendes - PSD/RO",camara,EMR,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1090497
2121442,2178460,2018-11-26,1,PL672616," Rubens Bueno - PPS/PR, Rubens Bueno - PPS/PR",camara,EMR,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1695084
2085536,2121251,2016-12-14,1,CMADS," Roberto Balestra - PP/GO, Roberto Balestra - PP/GO",camara,EMR,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1517413
2085536,2121254,2016-12-14,2,CMADS," Roberto Balestra - PP/GO, Roberto Balestra - PP/GO",camara,EMR,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1517413
2119881,2123939,2017-02-16,1,PEC28716,Eduardo Barbosa - PSDB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1545637
2119881,2124318,2017-02-21,2,PEC28216,Rosinha da Adefal - PTdoB/AL,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1576200
2119881,2124336,2017-02-22,3,PEC28716,Paulo Pereira da Silva - SD/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530104
2119881,2124344,2017-02-22,4,PEC28716,Pedro Uczai - PT/SC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530105
2119881,2124345,2017-02-22,5,PEC28716,Pedro Uczai - PT/SC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533161
2119881,2124346,2017-02-22,6,PEC28716,Pedro Uczai - PT/SC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530107
2119881,2124414,2017-02-22,7,PEC28716,Ronaldo Benedet - PMDB/SC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530108
2119881,2124448,2017-02-23,8,PEC28716,Mara Gabrilli - PSDB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530109
2119881,2124558,2017-03-07,9,PEC28716,Betinho Gomes - PSDB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530111
2119881,2124559,2017-03-07,10,PEC28716,Betinho Gomes - PSDB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530110
2119881,2124605,2017-03-07,11,PEC28716,Betinho Gomes - PSDB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530112
2119881,2124614,2017-03-07,12,PEC28716,Weverton Rocha - PDT/MA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533105
2119881,2124616,2017-03-07,13,PEC28716,Weverton Rocha - PDT/MA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530114
2119881,2124634,2017-03-07,14,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530115
2119881,2124635,2017-03-07,15,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530116
2119881,2124688,2017-03-08,16,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530117
2119881,2124697,2017-03-08,17,PEC28716,Valdir Colatto - PMDB/SC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533164
2119881,2124881,2017-03-08,18,PEC28716,Bacelar - PTN/BA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530118
