id_leggo,id_autor_parlametria,id_ext,casa,id_autor,tipo_autor,tipo_generico,sigla_local,peso_total_documentos,num_documentos,partido,uf,nome_autor,is_important,bancada,casa_autor
120,174043,16526,camara,74043,Deputado,Emenda,PLEN,17,17,PL,PB,Dep. Wellington Roberto,TRUE,governo,camara
120,1204396,16526,camara,204396,Deputado,Emenda,PLEN,11,11,PSD,PR,Dep. Vermelho,TRUE,governo,camara
120,1160508,16526,camara,160508,Deputado,Emenda,PLEN,9,9,PT,BA,Dep. Afonso Florence,TRUE,oposição,camara
120,1151208,16526,camara,151208,Deputado,Emenda,PLEN,6,6,PP,SE,Dep. Laercio Oliveira,TRUE,governo,camara
120,1160639,16526,camara,160639,Deputado,Emenda,PLEN,6,6,DEM,TO,Dep. Professora Dorinha Seabra Rezende,TRUE,governo,camara
120,1204388,16526,camara,204388,Deputado,Emenda,PLEN,6,6,PSL,RS,Dep. Bibo Nunes,TRUE,governo,camara
120,1141391,16526,camara,141391,Deputado,Emenda,PLEN,5,5,CIDADANIA,SP,Dep. Arnaldo Jardim,TRUE,governo,camara
120,1204477,16526,camara,204477,Deputado,Emenda,PLEN,5,5,PSL,RJ,Dep. Felício Laterça,TRUE,governo,camara
120,1160665,16526,camara,160665,Deputado,Emenda,PLEN,4.2,5,SOLIDARIEDADE,PE,Dep. Augusto Coutinho,TRUE,governo,camara
120,174060,16526,camara,74060,Deputado,Emenda,PLEN,4,4,PCdoB,BA,Dep. Daniel Almeida,TRUE,oposição,camara
120,174158,16526,camara,74158,Deputado,Emenda,PLEN,4,4,PDT,MG,Dep. Mário Heringer,TRUE,oposição,camara
120,1133439,16526,camara,133439,Deputado,Emenda,PLEN,4,4,PDT,CE,Dep. André Figueiredo,TRUE,oposição,camara
120,181055,16526,camara,81055,Deputado,Emenda,PLEN,3,3,PCdoB,MA,Dep. Márcio Jerry,TRUE,oposição,camara
120,1160587,16526,camara,160587,Deputado,Emenda,PLEN,3,3,PSD,MS,Dep. Fábio Trad,TRUE,governo,camara
120,1164359,16526,camara,164359,Deputado,Emenda,PLEN,3,3,PSL,GO,Dep. Delegado Waldir,TRUE,governo,camara
120,1205865,16526,camara,205865,Deputado,Emenda,PLEN,3,3,PSD,PR,Dep. Reinhold Stephanes Junior,TRUE,governo,camara
120,174366,16526,camara,74366,Deputado,Emenda,PLEN,2,2,PRB,GO,Dep. João Campos,TRUE,governo,camara
120,1160665,16526,camara,160665,Deputado,Parecer,PLEN,2,2,SOLIDARIEDADE,PE,Dep. Augusto Coutinho,TRUE,governo,camara
120,1178910,16526,camara,178910,Deputado,Emenda,PLEN,2,2,PSD,PA,Dep. Joaquim Passarinho,TRUE,governo,camara
120,1204398,16526,camara,204398,Deputado,Emenda,PLEN,2,2,PSL,PR,Dep. Felipe Francischini,TRUE,governo,camara
120,1204418,16526,camara,204418,Deputado,Emenda,PLEN,2,2,PRB,PR,Dep. Luizão Goulart,TRUE,governo,camara
120,1178854,16526,camara,178854,Deputado,Emenda,PLEN,1.2,2,DEM,BA,Dep. Elmar Nascimento,TRUE,governo,camara
120,192699,16526,camara,92699,Deputado,Emenda,PLEN,1,1,PP,PE,Dep. Fernando Monteiro,TRUE,governo,camara
120,1141508,16526,camara,141508,Deputado,Requerimento,COAPP(SGM),1,1,PSB,RO,Dep. Mauro Nazif,FALSE,oposição,camara
120,1141555,16526,camara,141555,Deputado,Emenda,PLEN,1,1,PRB,SP,Dep. Vinicius Carvalho,TRUE,governo,camara
120,1160635,16526,camara,160635,Deputado,Emenda,PLEN,1,1,PSDB,PB,Dep. Ruy Carneiro,TRUE,governo,camara
120,1160665,16526,camara,160665,Deputado,Parecer,PL129295,1,1,SOLIDARIEDADE,PE,Dep. Augusto Coutinho,TRUE,governo,camara
120,1160666,16526,camara,160666,Deputado,Emenda,PLEN,1,1,PDT,BA,Dep. Félix Mendonça Júnior,TRUE,oposição,camara
120,1178874,16526,camara,178874,Deputado,Requerimento,CCP,1,1,PDT,ES,Dep. Sergio Vidigal,FALSE,oposição,camara
120,1178916,16526,camara,178916,Deputado,Emenda,PLEN,1,1,CIDADANIA,PE,Dep. Daniel Coelho,TRUE,governo,camara
120,1178992,16526,camara,178992,Deputado,Emenda,PLEN,1,1,PSDB,SP,Dep. Vitor Lippi,TRUE,governo,camara
120,1194260,16526,camara,194260,Deputado,Emenda,PLEN,1,1,PTB,AL,Dep. Nivaldo Albuquerque,TRUE,governo,camara
120,1204364,16526,camara,204364,Deputado,Emenda,PLEN,1,1,SOLIDARIEDADE,TO,Dep. Eli Borges,TRUE,governo,camara
120,1204365,16526,camara,204365,Deputado,Emenda,PLEN,1,1,NOVO,SC,Dep. Gilson Marques,TRUE,governo,camara
120,1204371,16526,camara,204371,Deputado,Emenda,PLEN,1,1,PSB,ES,Dep. Felipe Rigoni,TRUE,oposição,camara
120,1204389,16526,camara,204389,Deputado,Emenda,PLEN,1,1,PSB,GO,Dep. Elias Vaz,TRUE,oposição,camara
120,1204418,16526,camara,204418,Deputado,Requerimento,CCP,1,1,PRB,PR,Dep. Luizão Goulart,FALSE,governo,camara
120,1204418,16526,camara,204418,Deputado,Requerimento,SEPRO,1,1,PRB,PR,Dep. Luizão Goulart,FALSE,governo,camara
120,1204429,16526,camara,204429,Deputado,Emenda,PLEN,1,1,PSB,PE,Dep. João H. Campos,TRUE,oposição,camara
120,1204504,16526,camara,204504,Deputado,Emenda,PLEN,1,1,PSD,SP,Dep. Cezinha De Madureira,TRUE,governo,camara
120,1204506,16526,camara,204506,Deputado,Emenda,PLEN,1,1,PRB,SP,Dep. Marcos Pereira,TRUE,governo,camara
120,1204513,16526,camara,204513,Deputado,Emenda,PLEN,1,1,PSL,SP,Dep. Guiga Peixoto,TRUE,governo,camara
120,1204524,16526,camara,204524,Deputado,Emenda,PLEN,1,1,PP,MG,Dep. Pinheirinho,TRUE,governo,camara
120,1204536,16526,camara,204536,Deputado,Emenda,PLEN,1,1,DEM,SP,Dep. Kim Kataguiri,TRUE,governo,camara
120,1204543,16526,camara,204543,Deputado,Emenda,PLEN,1,1,PSB,SP,Dep. Luiz Flávio Gomes,TRUE,oposição,camara
120,174262,16526,camara,74262,Deputado,Emenda,PLEN,0.2,1,PSDB,SP,Dep. Carlos Sampaio,TRUE,governo,camara
120,1178884,16526,camara,178884,Deputado,Emenda,PLEN,0.2,1,MDB,MA,Dep. Hildo Rocha,TRUE,governo,camara
120,1204358,16526,camara,204358,Deputado,Emenda,PLEN,0.2,1,PSDB,MS,Dep. Beto Pereira,TRUE,governo,camara
,1178879,20289,camara,178879,Deputado,Requerimento,CCP,2,2,SOLIDARIEDADE,GO,Dep. Lucas Vergilio,FALSE,governo,camara
,1146788,20289,camara,146788,Deputado,Prop. Original / Apensada,CCP,1,1,PP,MG,Dep. Marcelo Aro,FALSE,governo,camara
,1204416,20289,camara,204416,Deputado,Prop. Original / Apensada,CCP,1,1,PSL,RS,Dep. Sanderson,FALSE,governo,camara
,1204428,20289,camara,204428,Deputado,Prop. Original / Apensada,CCP,1,1,PT,PE,Dep. Marília Arraes,FALSE,oposição,camara
,1204441,20289,camara,204441,Deputado,Prop. Original / Apensada,CCP,1,1,PSC,RJ,Dep. Otoni De Paula,FALSE,governo,camara
,1205476,20956,camara,205476,Deputado,Prop. Original / Apensada,CSSF,1,1,PSD,BA,Dep. Charles Fernandes,TRUE,governo,camara
72,172442,46249,camara,72442,Deputado,Prop. Original / Apensada,CCP,2,2,PSB,PE,Dep. Felipe Carreras,FALSE,oposição,camara
72,1178970,46249,camara,178970,Deputado,Prop. Original / Apensada,CCP,2,2,PT,SE,Dep. João Daniel,FALSE,oposição,camara
72,174400,46249,camara,74400,Deputado,Prop. Original / Apensada,CCP,1,1,PT,RS,Dep. Paulo Pimenta,FALSE,oposição,camara
72,1133968,46249,camara,133968,Deputado,Prop. Original / Apensada,CCP,1,1,PDT,RJ,Dep. Paulo Ramos,FALSE,oposição,camara
72,1160632,46249,camara,160632,Deputado,Prop. Original / Apensada,CCP,1,1,SOLIDARIEDADE,MG,Dep. Zé Silva,FALSE,governo,camara
72,1178835,46249,camara,178835,Deputado,Prop. Original / Apensada,CCP,1,1,PDT,RS,Dep. Afonso Motta,FALSE,oposição,camara
72,1178858,46249,camara,178858,Deputado,Prop. Original / Apensada,CCP,1,1,PP,BA,Dep. Mário Negromonte Jr.,FALSE,governo,camara
72,1178930,46249,camara,178930,Deputado,Prop. Original / Apensada,CCP,1,1,PSD,PR,Dep. Evandro Roman,FALSE,governo,camara
72,1178986,46249,camara,178986,Deputado,Prop. Original / Apensada,CCP,1,1,PT,SP,Dep. Nilto Tatto,FALSE,oposição,camara
72,1204478,46249,camara,204478,Deputado,Requerimento,CCP,1,1,MDB,RJ,Dep. Vinicius Farah,FALSE,governo,camara
90,174398,51066,camara,74398,Deputado,Prop. Original / Apensada,MESA,1,1,PT,RS,Dep. Maria Do Rosário,FALSE,oposição,camara
90,1160575,51066,camara,160575,Deputado,Requerimento,CCP,1,1,PT,DF,Dep. Erika Kokay,FALSE,oposição,camara
90,1160619,51066,camara,160619,Deputado,Requerimento,PLEN,1,1,PSD,BA,Dep. José Nunes,TRUE,governo,camara
90,1171619,51066,camara,171619,Deputado,Requerimento,CCP,1,1,PT,MG,Dep. Margarida Salomão,FALSE,oposição,camara
90,1171619,51066,camara,171619,Deputado,Requerimento,MESA,1,1,PT,MG,Dep. Margarida Salomão,FALSE,oposição,camara
90,1204537,51066,camara,204537,Deputado,Parecer,CCJC,1,1,PV,SP,Dep. Enrico Misasi,TRUE,governo,camara
69,174439,257161,camara,74439,Deputado,Requerimento,CCP,1,1,PDT,PE,Dep. Wolney Queiroz,FALSE,oposição,camara
69,176874,257161,camara,76874,Deputado,Prop. Original / Apensada,CCP,1,1,PSOL,RJ,Dep. Marcelo Freixo,FALSE,oposição,camara
69,1141516,257161,camara,141516,Deputado,Requerimento,CCP,1,1,PSDB,MG,Dep. Paulo Abi-ackel,FALSE,governo,camara
69,1178896,257161,camara,178896,Deputado,Requerimento,CCP,1,1,MDB,MG,Dep. Newton Cardoso Jr,FALSE,governo,camara
69,1178908,257161,camara,178908,Deputado,Prop. Original / Apensada,CFT,1,1,PSD,PA,Dep. Delegado Éder Mauro,TRUE,governo,camara
69,1178954,257161,camara,178954,Deputado,Requerimento,CCP,1,1,MDB,RO,Dep. Lucio Mosquini,FALSE,governo,camara
69,1204536,257161,camara,204536,Deputado,Requerimento,CCP,1,1,DEM,SP,Dep. Kim Kataguiri,FALSE,governo,camara
43,1204534,332457,camara,204534,Deputado,Requerimento,CCP,2,2,PDT,SP,Dep. Tabata Amaral,FALSE,oposição,camara
43,169871,332457,camara,69871,Deputado,Requerimento,CE,1,1,PODE,BA,Dep. Bacelar,TRUE,governo,camara
43,174273,332457,camara,74273,Deputado,Requerimento,CCP,1,1,PSB,SP,Dep. Jefferson Campos,FALSE,oposição,camara
43,1160639,332457,camara,160639,Deputado,Requerimento,PLEN,1,1,DEM,TO,Dep. Professora Dorinha Seabra Rezende,TRUE,governo,camara
43,1204410,332457,camara,204410,Deputado,Requerimento,PLEN,1,1,PTB,PR,Dep. Luisa Canziani,TRUE,governo,camara
43,1204467,332457,camara,204467,Deputado,Prop. Original / Apensada,MESA,1,1,PT,MT,Dep. Professora Rosa Neide,FALSE,oposição,camara
43,1204467,332457,camara,204467,Deputado,Requerimento,CCP,1,1,PT,MT,Dep. Professora Rosa Neide,FALSE,oposição,camara
43,1204472,332457,camara,204472,Deputado,Prop. Original / Apensada,CCP,1,1,PODE,MT,Dep. José Medeiros,FALSE,governo,camara
43,1204478,332457,camara,204478,Deputado,Requerimento,CCP,1,1,MDB,RJ,Dep. Vinicius Farah,FALSE,governo,camara
43,1204529,332457,camara,204529,Deputado,Prop. Original / Apensada,CCP,1,1,PL,SP,Dep. Policial Katia Sastre,FALSE,governo,camara
43,1204534,332457,camara,204534,Deputado,Prop. Original / Apensada,MESA,1,1,PDT,SP,Dep. Tabata Amaral,FALSE,oposição,camara
43,1204538,332457,camara,204538,Deputado,Prop. Original / Apensada,CCP,1,1,PTB,PA,Dep. Paulo Bengtson,FALSE,governo,camara
74,1141417,345311,camara,141417,Deputado,Requerimento,CCP,1,1,PL,RR,Dep. Edio Lopes,FALSE,governo,camara
74,1160559,345311,camara,160559,Deputado,Requerimento,CCP,1,1,MDB,,Dep. Alceu Moreira,FALSE,governo,camara
74,1160600,345311,camara,160600,Deputado,Requerimento,NAJUR(SGM),1,1,DEM,BA,Dep. Arthur Oliveira Maia,FALSE,governo,camara
74,1178963,345311,camara,178963,Deputado,Requerimento,CCP,1,1,PP,,Dep. Covatti Filho,FALSE,governo,camara
74,1204478,345311,camara,204478,Deputado,Requerimento,CCP,1,1,MDB,RJ,Dep. Vinicius Farah,FALSE,governo,camara
108,1132504,353631,camara,132504,Deputado,Emenda,PLEN,0.8333333333333333,3,PT,,Dep. Enio Verri,TRUE,oposição,camara
108,1204371,353631,camara,204371,Deputado,Emenda,PLEN,0.8333333333333333,3,PSB,ES,Dep. Felipe Rigoni,TRUE,oposição,camara
108,1204534,353631,camara,204534,Deputado,Emenda,PLEN,0.8333333333333333,3,PDT,SP,Dep. Tabata Amaral,TRUE,oposição,camara
108,1141422,353631,camara,141422,Deputado,Emenda,PLEN,0.25,1,DEM,,Dep. Efraim Filho,TRUE,governo,camara
108,1178922,353631,camara,178922,Deputado,Emenda,PLEN,0.25,1,PSB,PE,Dep. Tadeu Alencar,TRUE,oposição,camara
108,1178975,353631,camara,178975,Deputado,Emenda,PLEN,0.25,1,MDB,SP,Dep. Baleia Rossi,TRUE,governo,camara
108,1204388,353631,camara,204388,Deputado,Emenda,PLEN,0.25,1,PSL,RS,Dep. Bibo Nunes,TRUE,governo,camara
108,1204429,353631,camara,204429,Deputado,Emenda,PLEN,0.25,1,PSB,PE,Dep. João H. Campos,TRUE,oposição,camara
108,1204544,353631,camara,204544,Deputado,Emenda,PLEN,0.25,1,PSL,SP,Dep. Alexandre Frota,TRUE,governo,camara
,173433,360369,camara,73433,Deputado,Requerimento,CCP,1,1,PT,SP,Dep. Arlindo Chinaglia,FALSE,oposição,camara
,1204544,380828,camara,204544,Deputado,Prop. Original / Apensada,CSSF,2,2,PSL,SP,Dep. Alexandre Frota,TRUE,governo,camara
,166179,380828,camara,66179,Deputado,Requerimento,CCP,1,1,DEM,ES,Dep. Norma Ayub,FALSE,governo,camara
,173466,380828,camara,73466,Deputado,Prop. Original / Apensada,CSSF,1,1,CIDADANIA,PR,Dep. Rubens Bueno,TRUE,governo,camara
,174371,380828,camara,74371,Deputado,Prop. Original / Apensada,CSSF,1,1,PT,GO,Dep. Rubens Otoni,TRUE,oposição,camara
,1141401,380828,camara,141401,Deputado,Requerimento,CCP,1,1,MDB,,Dep. Carlos Bezerra,FALSE,governo,camara
,1151208,380828,camara,151208,Deputado,Requerimento,CCP,1,1,PP,SE,Dep. Laercio Oliveira,FALSE,governo,camara
,1164360,380828,camara,164360,Deputado,Prop. Original / Apensada,CSSF,1,1,CIDADANIA,SC,Dep. Carmen Zanotto,TRUE,governo,camara
,1204411,380828,camara,204411,Deputado,Prop. Original / Apensada,CSSF,1,1,PSL,PR,Dep. Filipe Barros,TRUE,governo,camara
,1204414,380828,camara,204414,Deputado,Prop. Original / Apensada,CSSF,1,1,PRB,PR,Dep. Aroldo Martins,TRUE,governo,camara
,1204447,380828,camara,204447,Deputado,Prop. Original / Apensada,CSSF,1,1,PSD,RJ,Dep. Flordelis,TRUE,governo,camara
25,172442,408349,camara,72442,Deputado,Prop. Original / Apensada,CCP,1,1,PSB,PE,Dep. Felipe Carreras,FALSE,oposição,camara
25,173466,408349,camara,73466,Deputado,Prop. Original / Apensada,CCP,1,1,CIDADANIA,PR,Dep. Rubens Bueno,FALSE,governo,camara
25,173466,408349,camara,73466,Deputado,Requerimento,CCP,1,1,CIDADANIA,PR,Dep. Rubens Bueno,FALSE,governo,camara
25,181297,408349,camara,81297,Deputado,Prop. Original / Apensada,CCP,1,1,PSL,ES,Dep. Dra. Soraya Manato,FALSE,governo,camara
25,1178866,408349,camara,178866,Deputado,Prop. Original / Apensada,CCP,1,1,PT,CE,Dep. Luizianne Lins,FALSE,oposição,camara
25,1178929,408349,camara,178929,Deputado,Prop. Original / Apensada,CCP,1,1,PODE,PR,Dep. Diego Garcia,FALSE,governo,camara
25,1178933,408349,camara,178933,Deputado,Prop. Original / Apensada,CCP,1,1,MDB,PR,Dep. Sergio Souza,FALSE,governo,camara
25,1178939,408349,camara,178939,Deputado,Requerimento,CCP,1,1,PROS,RJ,Dep. Clarissa Garotinho,FALSE,governo,camara
