id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_nome,id_leggo
2251963,PL,2476,"Dispõe sobre medidas para a sustentação das atividades empresariais e dos empregos durante a emergência de saúde pública decorrente da pandemia de Covid-19. Altera a Lei nº 13.483, de 2017.",2020-05-07T17:45:00Z,camara,camara,Zé Neto,BA,PT,Indefinido,Indefinido,Relator não encontrado,501
2251391,PL,2353,"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, que “dispõe sobre as medidas para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019”, para permitir a habilitação e credenciamento imediatos de novos leitos hospitalares pelo Sistema Único de Saúde - SUS. ",2020-05-04T12:49:00Z,camara,camara,José Guimarães,CE,PT,Indefinido,Indefinido,Relator não encontrado,502
2251394,PL,2357,Prorroga o auxílio emergencial de que trata a Lei nº 13.982/2020. ,2020-05-04T12:57:00Z,camara,camara,José Guimarães,CE,PT,Indefinido,Indefinido,Relator não encontrado,503
2251181,PL,2338,"Altera a Lei nº 11.438, de 29 de dezembro de 2006, para tratar de incentivos as atividades de caráter desportivo. ",2020-05-04T08:51:00Z,camara,camara,Julio Cesar Ribeiro,DF,REPUBLICANOS,Indefinido,Indefinido,Relator não encontrado,504
2252016,PL,2500,"Acrescenta o art. 4º-J à Lei nº 13.979, de 6 de fevereiro de 2020, que dispõe sobre as medidas para enfrentamento da emergência de saúde pública internacional decorrente do coronavírus responsável pelo surto de 2019. ",2020-05-08T15:46:00Z,camara,camara,Eduardo Costa,PA,PTB,Urgência,Plenário,Relator não encontrado,505
2251491,PL,2389,"Dispõe sobre a tipificação do crime de criação e divulgação de notícias falsas - Fake News sobre a pandemia do Coronavírus - Covid - 19 acrescentando o art. 140-A ao do Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal e dá outras providências. ",2020-05-05T10:12:00Z,camara,camara,Afonso Florence+Airton Faleiro+Alencar Santana Braga+Assis Carvalho+Benedita da Silva+Beto Faro+Célio Moura+Enio Verri+Erika Kokay+Frei Anastacio Ribeiro+Gleisi Hoffmann+Henrique Fontana+João Daniel+Jorge Solla+José Guimarães+José Ricardo+Joseildo Ramos+Leonardo Monteiro+Luizianne Lins+Marcon+Margarida Salomão+Nilto Tatto+Padre João+Patrus Ananias+Paulão+Paulo Teixeira+Pedro Uczai+Professora Rosa Neide+Reginaldo Lopes+Rejane Dias+Rogério Correia+Rui Falcão+Valmir Assunção+Vander Loubet+Zé Neto,BA+PA+SP+PI+RJ+PA+TO+PR+DF+PB+PR+RS+SE+BA+CE+AM+BA+MG+CE+RS+MG+SP+MG+MG+AL+SP+SC+MT+MG+PI+MG+SP+BA+MS+BA,PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT,Indefinido,Indefinido,Relator não encontrado,506
2251384,PL,2347,"Altera a Lei nº 11.977, de 7 de julho de 2009 que dispõe sobre o Programa Minha Casa, Minha Vida – PMCMV e a regularização fundiária de assentamentos localizados em áreas urbanas para suspender o pagamento das parcelas do financiamento imobiliário durante o estado de calamidade pública de importância internacional coronavírus – COVID-19  e dá outras providências. ",2020-05-04T11:43:00Z,camara,camara,Rejane Dias,PI,PT,Urgência,Plenário,Relator não encontrado,507
2252866,PL,2726,"Determina aos órgãos integrantes do Sistema Único de Saúde e instituições privadas de assistência à saúde a inclusão nos registros de pessoas suspeitas de contaminação, contaminadas, hospitalizadas e falecidas por Covid-19 de marcador étnico-racial conforme as categorias do Instituto Brasileiro de Geografia e Estatística, de localização e de gênero, para a produção de dados oficiais de contaminação e mortalidade pela Covid-19 e que tais dados passem a fazer parte da apresentação pública dos dados de infecção e mortalidade. ",2020-05-18T11:55:00Z,camara,camara,Afonso Florence+Airton Faleiro+Alencar Santana Braga+Alexandre Padilha+Arlindo Chinaglia+Assis Carvalho+Benedita da Silva+Beto Faro+Bohn Gass+Carlos Veras+Carlos Zarattini+Célio Moura+Enio Verri+Erika Kokay+Frei Anastacio Ribeiro+Gleisi Hoffmann+Helder Salomão+Henrique Fontana+João Daniel+Jorge Solla+José Guimarães+José Ricardo+Joseildo Ramos+Leonardo Monteiro+Luizianne Lins+Marcon+Margarida Salomão+Maria do Rosário+Marília Arraes+Natália Bonavides+Nilto Tatto+Odair Cunha+Padre João+Patrus Ananias+Paulão+Paulo Guedes+Paulo Pimenta+Paulo Teixeira+Pedro Uczai+Professora Rosa Neide+Reginaldo Lopes+Rejane Dias+Rogério Correia+Rubens Otoni+Rui Falcão+Valmir Assunção+Vander Loubet+Vicentinho+Waldenor Pereira+Zé Carlos+Zé Neto+Zeca Dirceu,BA+PA+SP+SP+SP+PI+RJ+PA+RS+PE+SP+TO+PR+DF+PB+PR+ES+RS+SE+BA+CE+AM+BA+MG+CE+RS+MG+RS+PE+RN+SP+MG+MG+MG+AL+MG+RS+SP+SC+MT+MG+PI+MG+GO+SP+BA+MS+SP+BA+MA+BA+PR,PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT,Urgência,Plenário,Relator não encontrado,508
2252857,PL,2722,"Inclui artigo na Lei 13.979, de 06 de fevereiro de 2020, estabelecendo medidas de auxílio emergencial ao Transportador Autônomo de Cargas - TAC ",2020-05-18T10:12:00Z,camara,camara,Nereu Crispim,RS,PSL,Indefinido,Indefinido,Relator não encontrado,509
2253001,PL,2762,"Altera a Lei nº 13.982, de 2 de abril de 2020, que estabelece medidas excepcionais de proteção social adotadas durante o período de enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (Covid-19) responsável pelo surto de 2019, acrescentando o §13 ao art. 2º, para incluir a mulher vítima de violência doméstica como beneficiária do benefício emergencial. ",2020-05-19T17:19:00Z,camara,camara,Alice Portugal+Angela Amin+Bia Cavassa+Carmen Zanotto+Dra. Soraya Manato+Dulce Miranda+Fernanda Melchionna+Luiza Erundina+Mariana Carvalho+Norma Ayub+Patricia Ferraz+Paula Belmonte+Rejane Dias+Talíria Petrone+Tereza Nelma,BA+SC+MS+SC+ES+TO+RS+SP+RO+ES+AP+DF+PI+RJ+AL,PCdoB+PP+PSDB+CIDADANIA+PSL+MDB+PSOL+PSOL+PSDB+DEM+PODE+CIDADANIA+PT+PSOL+PSDB,Urgência,Plenário,Relator não encontrado,510
2252939,PL,2750,"Dispõe sobre licença temporária para operação de emissoras de radiodifusão comunitária que estejam submetidas a medidas disciplinares, de restrição de operação, suspensão ou revogação da autorização. ",2020-05-19T13:04:00Z,camara,camara,Aluisio Mendes,MA,PSC,Indefinido,Indefinido,Relator não encontrado,511
2252895,PL,2735,"Institui o Programa Extraordinário de Regularização Tributária da Secretaria da Receita Federal do Brasil e da Procuradoria Geral da Fazenda Nacional, em decorrência do estado de calamidade pública pela pandemia de COVID/19 - PERT-COVID/19 ",2020-05-18T17:44:00Z,camara,camara,Ricardo Guidi,SC,PSD,Indefinido,Indefinido,Relator não encontrado,512
2252606,PL,2636,"Acrescenta os §§3º e 4º ao art. 4º, da Lei nº 13.979, de 6 de fevereiro de 2020, que ""Dispõe sobre as medidas para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019"", para dispor sobre mecanismos no sentido de permitir maior transparência e fiscalização dos gastos públicos no período da pandemia do COVID-19 e dá outras providências. ,",2020-05-14T10:18:00Z,camara,camara,Paula Belmonte,DF,CIDADANIA,Urgência,Plenário,Relator não encontrado,513
2252540,PL,2603,Autoriza o poder executivo a suspender até 31 de dezembro de 2020 a cobrança das parcelas de amortização das dívidas provenientes do programa MINHA CASA MINHA VIDA no período de restrição a locomoção e ou emergência e ou calamidade provocados pela pandemia covid-19. ,2020-05-13T12:09:00Z,camara,camara,Reginaldo Lopes,MG,PT,Urgência,Plenário,Relator não encontrado,514
