id_leggo,id_autor,nome,partido,uf,bancada,casa_autor,nome_eleitoral,node_size,id_autor_parlametria
69,76874,Dep. Marcelo Freixo,PSOL,RJ,oposição,camara,Dep. Marcelo Freixo (PSOL/RJ),1,176874
70,1186,Sen. Luis Carlos Heinze,PP,RS,governo,senado,Sen. Luis Carlos Heinze (PP/RS),1,21186
70,4560,Sen. Sérgio Petecão,PSD,AC,governo,senado,Sen. Sérgio Petecão (PSD/AC),1,24560
70,5012,Sen. Randolfe Rodrigues,REDE,AP,oposição,senado,Sen. Randolfe Rodrigues (REDE/AP),1,25012
71,204523,Dep. Lucas Gonzalez,NOVO,MG,governo,camara,Dep. Lucas Gonzalez (NOVO/MG),1,1204523
72,133968,Dep. Paulo Ramos,PDT,RJ,oposição,camara,Dep. Paulo Ramos (PDT/RJ),1,1133968
72,160632,Dep. Zé Silva,SOLIDARIEDADE,MG,governo,camara,Dep. Zé Silva (SOLIDARIEDADE/MG),1,1160632
72,178835,Dep. Afonso Motta,PDT,RS,oposição,camara,Dep. Afonso Motta (PDT/RS),1,1178835
72,178858,Dep. Mário Negromonte Jr.,PP,BA,governo,camara,Dep. Mário Negromonte Jr. (PP/BA),1,1178858
72,178930,Dep. Evandro Roman,PSD,PR,governo,camara,Dep. Evandro Roman (PSD/PR),1,1178930
72,178970,Dep. João Daniel,PT,SE,oposição,camara,Dep. João Daniel (PT/SE),2,1178970
72,178986,Dep. Nilto Tatto,PT,SP,oposição,camara,Dep. Nilto Tatto (PT/SP),1,1178986
72,204478,Dep. Vinicius Farah,MDB,RJ,governo,camara,Dep. Vinicius Farah (MDB/RJ),1,1204478
72,72442,Dep. Felipe Carreras,PSB,PE,oposição,camara,Dep. Felipe Carreras (PSB/PE),2,172442
72,74400,Dep. Paulo Pimenta,PT,RS,oposição,camara,Dep. Paulo Pimenta (PT/RS),1,174400
73,133810,Dep. Marcelo Moraes,PTB,RS,governo,camara,Dep. Marcelo Moraes (PTB/RS),1,1133810
73,204544,Dep. Alexandre Frota,PSL,SP,governo,camara,Dep. Alexandre Frota (PSL/SP),1,1204544
74,141417,Dep. Edio Lopes,PL,RR,governo,camara,Dep. Edio Lopes (PL/RR),1,1141417
74,160559,Dep. Alceu Moreira,MDB,,governo,camara,Dep. Alceu Moreira (MDB/-),1,1160559
74,160600,Dep. Arthur Oliveira Maia,DEM,BA,governo,camara,Dep. Arthur Oliveira Maia (DEM/BA),1,1160600
74,178963,Dep. Covatti Filho,PP,,governo,camara,Dep. Covatti Filho (PP/-),1,1178963
74,204478,Dep. Vinicius Farah,MDB,RJ,governo,camara,Dep. Vinicius Farah (MDB/RJ),1,1204478
76,178970,Dep. João Daniel,PT,SE,oposição,camara,Dep. João Daniel (PT/SE),1,1178970
76,178986,Dep. Nilto Tatto,PT,SP,oposição,camara,Dep. Nilto Tatto (PT/SP),1,1178986
79,116379,Dep. Darci De Matos,PSD,SC,governo,camara,Dep. Darci De Matos (PSD/SC),1,1116379
79,141401,Dep. Carlos Bezerra,MDB,,governo,camara,Dep. Carlos Bezerra (MDB/-),1,1141401
79,151208,Dep. Laercio Oliveira,PP,SE,governo,camara,Dep. Laercio Oliveira (PP/SE),1,1151208
79,160511,Dep. Alessandro Molon,PSB,RJ,oposição,camara,Dep. Alessandro Molon (PSB/RJ),1,1160511
