cargo,id_parlamentar,nome,partido,uf,situacao,sigla,casa,foto
TITULAR,178928,Christiane de Souza Yared ,PL,PR,Titular,CEDOS,camara,https://www.camara.leg.br/internet/deputado/bandep/178928.jpg
PRESIDENTE,74383,Giacobo ,PL,PR,Titular,CEDOS,camara,https://www.camara.leg.br/internet/deputado/bandep/74383.jpg
TITULAR,204485,Luiz Carlos Motta ,PL,SP,Titular,CEDOS,camara,https://www.camara.leg.br/internet/deputado/bandep/204485.jpg
SUPLENTE,204501,Alencar Santana Braga ,PT,SP,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
SUPLENTE,204353,Aline Gurgel ,REPUBLIC,AP,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204353.jpg
TITULAR,73696,Angela Amin ,PP,SC,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg
PRIMEIRO VICE-PRESIDENTE,141391,Arnaldo Jardim ,CIDADANIA,SP,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
TITULAR,159237,Assis Carvalho ,PT,PI,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/159237.jpg
TITULAR,109429,Benes Leocádio ,REPUBLIC,RN,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/109429.jpg
SUPLENTE,204376,Coronel Armando ,PSL,SC,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204376.jpg
SUPLENTE,204355,Da Vitoria ,CIDADANIA,ES,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204355.jpg
TITULAR,204562,Edilázio Júnior ,PSD,MA,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204562.jpg
SUPLENTE,141417,Edio Lopes ,PL,RR,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/141417.jpg
TITULAR,134812,Edmilson Rodrigues ,PSOL,PA,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/134812.jpg
TITULAR,204552,Eduardo Braide ,PODE,MA,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204552.jpg
SUPLENTE,204500,Eduardo Costa ,PTB,PA,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204500.jpg
TITULAR,141421,Eduardo da Fonte ,PP,PE,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/141421.jpg
SUPLENTE,204389,Elias Vaz ,PSB,GO,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204389.jpg
TITULAR,207309,Enéias Reis ,PSL,MG,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/207309.jpg
TITULAR,204477,Felício Laterça ,PSL,RJ,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204477.jpg
TITULAR,204398,Felipe Francischini ,PSL,PR,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204398.jpg
SUPLENTE,204392,Francisco Jr. ,PSD,GO,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204392.jpg
TITULAR,178964,Heitor Schuch ,PSB,RS,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/178964.jpg
SUPLENTE,204508,Igor Timo ,PODE,MG,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204508.jpg
SUPLENTE,204435,Jesus Sérgio ,PDT,AC,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204435.jpg
SUPLENTE,178970,João Daniel ,PT,SE,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/178970.jpg
SUPLENTE,204576,João Roma ,REPUBLIC,BA,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204576.jpg
TERCEIRO VICE-PRESIDENTE,178910,Joaquim Passarinho ,PSD,PA,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/178910.jpg
TITULAR,204474,Juarez Costa ,MDB,MT,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204474.jpg
SUPLENTE,204536,Kim Kataguiri ,DEM,SP,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204536.jpg
SUPLENTE,151208,Laercio Oliveira ,PP,SE,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/151208.jpg
NA,98057,Lafayette de Andrada ,REPUBLIC,MG,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/98057.jpg
TITULAR,204359,Léo Moraes ,PODE,RO,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204359.jpg
TITULAR,74299,Leônidas Cristino ,PDT,CE,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/74299.jpg
TITULAR,92102,Leur Lomanto Júnior ,DEM,BA,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/92102.jpg
TITULAR,204523,Lucas Gonzalez ,NOVO,MG,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204523.jpg
PRESIDENTE,204404,Lucas Redecker ,PSDB,RS,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204404.jpg
TITULAR,178954,Lucio Mosquini ,MDB,RO,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/178954.jpg
SEGUNDO VICE-PRESIDENTE,204381,Luis Miranda ,DEM,DF,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204381.jpg
TITULAR,160510,Luis Tibé ,AVANTE,MG,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/160510.jpg
TITULAR,204448,Luiz Antônio Corrêa ,PL,RJ,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204448.jpg
TITULAR,178956,Mariana Carvalho ,PSDB,RO,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/178956.jpg
SUPLENTE,146307,Neri Geller ,PP,MT,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/146307.jpg
SUPLENTE,74159,Odair Cunha ,PT,MG,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/74159.jpg
SUPLENTE,204363,Osires Damaso ,PSC,TO,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204363.jpg
TITULAR,204441,Otoni de Paula ,PSC,RJ,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204441.jpg
SUPLENTE,204573,Otto Alencar Filho ,PSD,BA,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204573.jpg
TITULAR,204538,Paulo Bengtson ,PTB,PA,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204538.jpg
SUPLENTE,204461,Paulo Ganime ,NOVO,RJ,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204461.jpg
TITULAR,160604,Pedro Uczai ,PT,SC,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/160604.jpg
TITULAR,73943,Perpétua Almeida ,PCdoB,AC,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/73943.jpg
SUPLENTE,74305,Roberto Pessoa ,,,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/74305.jpg
TITULAR,74371,Rubens Otoni ,PT,GO,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/74371.jpg
SUPLENTE,204360,Silvia Cristina ,PDT,RO,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204360.jpg
TITULAR,143084,Tiago Dimas ,SOLIDARI,TO,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/143084.jpg
TITULAR,74043,Wellington Roberto ,PL,PB,Titular,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/74043.jpg
