index,comparacao,distancia
0,2125345_2119881_emenda_na_comissao.txt_6,20.741774385919893
1,2125345_2119881_emenda_na_comissao.txt_8,24.04985822177182
2,2125345_2119881_emenda_na_comissao.txt_16,21.238453811076916
3,2125345_2119881_emenda_na_comissao.txt_28,20.61585450092019
4,2125345_2119881_emenda_na_comissao.txt_42,19.54820275031503
5,2125345_2119881_emenda_na_comissao.txt_48,22.826489253140142
6,2125345_2119881_emenda_na_comissao.txt_54,20.62261360050933
7,2125345_2119881_emenda_na_comissao.txt_60,21.08416266635905
8,2125345_2119881_emenda_na_comissao.txt_70,29.84516918162663
9,2125345_2119881_emenda_na_comissao.txt_79,23.076281483158404
10,2125345_2119881_emenda_na_comissao.txt_81,23.594243316906233
11,2125345_2119881_emenda_na_comissao.txt_83,21.434198811471177
12,2125345_2119881_emenda_na_comissao.txt_87,22.71945859875348
13,2125345_2119881_emenda_na_comissao.txt_93,19.06738078074046
14,2125345_2119881_emenda_na_comissao.txt_99,19.72813994876771
15,2125345_2119881_emenda_na_comissao.txt_105,18.78860175069125
16,2125345_2119881_emenda_na_comissao.txt_131,20.514479116059576
17,2125345_2119881_emenda_na_comissao.txt_137,18.099964056413818
18,2125345_2119881_emenda_na_comissao.txt_149,22.545618047800307
19,2125345_2119881_emenda_na_comissao.txt_155,20.701942156291096
20,2125345_2119881_emenda_na_comissao.txt_161,18.439503264683108
21,2125345_2119881_emenda_na_comissao.txt_167,17.924363415236122
22,2125345_2119881_emenda_na_comissao.txt_178,23.43856905517721
23,2125345_2119881_emenda_na_comissao.txt_180,24.014978403784077
24,2125345_2119881_emenda_na_comissao.txt_189,20.214176770011672
25,2125345_2119881_emenda_na_comissao.txt_197,19.94628765334829
26,2125345_2119881_emenda_na_comissao.txt_203,18.335923947485988
27,2125345_2119881_emenda_na_comissao.txt_209,21.402904842770702
28,2125345_2119881_emenda_na_comissao.txt_215,21.407724469130535
29,2125345_2119881_emenda_na_comissao.txt_221,19.628820207586426
30,2125345_2119881_emenda_na_comissao.txt_227,19.697653205508193
31,2125345_2119881_emenda_na_comissao.txt_239,20.557949687134496
32,2125345_2119881_emenda_na_comissao.txt_245,18.21495278928038
33,2125345_2119881_emenda_na_comissao.txt_251,18.634020996073996
34,2125345_2119881_emenda_na_comissao.txt_267,21.582238437568893
35,2125345_2119881_emenda_na_comissao.txt_269,20.07097891460332
36,2125345_2119881_emenda_na_comissao.txt_271,22.601512124782726
37,2125345_2119881_emenda_na_comissao.txt_273,24.144227521731025
38,2125345_2119881_emenda_na_comissao.txt_283,23.10942328964693
39,2125345_2119881_emenda_na_comissao.txt_289,21.753303697240376
40,2125345_2119881_emenda_na_comissao.txt_295,22.498762040126362
41,2125345_2119881_emenda_na_comissao.txt_307,17.579598652987595
42,2125345_2119881_emenda_na_comissao.txt_313,20.351241563460842
43,2125345_2119881_emenda_na_comissao.txt_319,19.396101557515593
44,2125345_2119881_emenda_na_comissao.txt_327,20.78788433914387
45,2125345_2119881_emenda_na_comissao.txt_333,19.87439152097382
46,2125345_2119881_emenda_na_comissao.txt_353,21.9664988172033
47,2125345_2119881_emenda_na_comissao.txt_377,18.40204968775789
48,2125345_2119881_emenda_na_comissao.txt_379,19.46630529036185
49,2125345_2119881_emenda_na_comissao.txt_387,18.930727474190647
50,2125345_2119881_emenda_na_comissao.txt_393,19.54338610044617
51,2125345_2119881_emenda_na_comissao.txt_405,16.74538356728587
52,2125345_2119881_emenda_na_comissao.txt_429,20.900315198484588
53,2125345_2119881_emenda_na_comissao.txt_441,17.822606494979826
54,2125345_2119881_emenda_na_comissao.txt_453,18.542406350140507
